Actividad;Categoria;Visibility
Activity 1;;
Activity 44;Averia;Active
Activity 2;Produccion;Active
Activity 48;Averia;Active
Activity 3;Espera;Active
Activity 4;;
Activity 5;;
Activity 95;Averia;Active
Activity 6;Espera;Active
Activity 7;Espera;Active
Activity 8;;
Activity 9;Averia;Active
Activity 10;;
Activity 23;Averia;Active
Activity 11;;
Activity 96;Averia;Active
Activity 12;;
Activity 13;Espera;Active
Activity 16;Averia;Active
Activity 14;Averia;Active
Activity 15;;
Activity 56;Averia;Active
Activity 17;;
Activity 18;Espera;Active
Activity 19;Espera;Active
Activity 91;Averia;Active
Activity 20;Espera;Active
Activity 21;;
Activity 22;;
Activity 24;;
Activity 33;Averia;Active
Activity 25;;
Activity 99;Averia;Active
Activity 26;;
Activity 27;;
Activity 94;Averia;Active
Activity 28;;
Activity 85;Averia;Active
Activity 29;;
Activity 30;Cambios;Active
Activity 98;Averia;Active
Activity 31;;
Activity 87;Averia;Active
Activity 32;;
Activity 90;Averia;Active
Activity 34;;
Activity 35;Espera;Active
Activity 36;;
Activity 37;;
Activity 38;Averia;Active
Activity 39;;
Activity 40;;
Activity 41;;
Activity 42;;
Activity 43;;
Activity 88;Averia;Active
Activity 53;Averia;Active
Activity 45;Espera;Active
Activity 46;Espera;Active
Activity 47;Averia;Active
Activity 49;;
Activity 83;Averia;Active
Activity 50;;
Activity 51;;
Activity 84;Averia;Active
Activity 52;;
Activity 82;Averia;Active
Activity 54;Espera;Active
Activity 55;Espera;Active
Activity 57;;
Activity 92;Averia;Active
Activity 58;;
Activity 59;;
Activity 89;Cambios;Active
Activity 60;;
Activity 81;Cambios;Active
Activity 61;;
Activity 62;Espera;Active
Activity 63;;
Activity 79;Cambios;Active
Activity 64;;
Activity 65;;
Activity 66;;
Activity 67;;
Activity 68;;
Activity 69;;
Activity 70;;
Activity 71;;
Activity 72;;
Activity 73;;
Activity 74;;
Activity 75;;
Activity 76;;
Activity 77;;
Activity 78;;
Activity 93;Espera;Active
Activity 80;Espera;Active
Activity 86;Espera;Active
Activity 97;No Programado;Active
Activity 100;Averia;Active
Activity 101;Averia;Active
Activity 102;Averia;Active
Activity 103;Espera;Active
Activity 104;Averia;Active
Activity 105;Espera;Active
Activity 106;Averia;Active
Activity 107;Averia;Active
Activity 108;Averia;Active
Activity 109;Averia;Active
Activity 110;Averia;Active
Activity 111;Averia;Active
Activity 112;Averia;Active
Activity 113;Cambios;Active
Activity 114;Cambios;Active
Activity 115;Averia;Active
Activity 116;Averia;Active
Activity 117;Espera;Active
Activity 118;Averia;Active
Activity 119;Espera;Active
Activity 120;Cambios;Active
Activity 121;Cambios;Active
Activity 122;Cambios;Active
Activity 123;Cambios;Active
Activity 124;Averia;Active
Activity 125;Cambios;Active
Activity 126;Averia;Active
Activity 127;Averia;Active
Activity 128;Averia;Active
Activity 129;No Programado;Active
Activity 130;Espera;Active
Activity 131;;
Activity 20;Espera;Active
Activity 21;;
Activity 22;;
Activity 24;;
Activity 33;Averia;Active
Activity 25;;
Activity 99;Averia;Active
